enzymes (mmol/g_(dw)/hr),0 min,50 min,100 min,150 min,200 min
NADH dehydrogenase (ubiquinone-8 & 3 protons),,20.975,20.975,20.975,20.975
2-Oxoglutarate exchange,,0.0,0.0,0.0,0.0
Citrate synthase,,4.195,4.195,4.195,4.195
Ethanol exchange,,0.0,0.0,0.0,0.0
Pyruvate formate lyase,,0.0,0.0,0.0,0.0
Acetate reversible transport via proton symport,,0.0,0.0,0.0,0.0
Fructose transport via PEP:Pyr PTS (f6p generating),,0.0,0.0,0.0,0.0
Glutamate dehydrogenase (NADP),,0.0,0.0,0.0,0.0
ATP synthase (four protons for one ATP),,0.0,0.0,0.0,0.0
Phosphate exchange,,0.0,0.0,0.0,0.0
Glutamine synthetase,,0.0,0.0,0.0,0.0
Phosphofructokinase,,2.0975,2.0975,2.0975,2.0975
Acetate kinase,,0.3140500447983152,8617.86475215748,67982.94451648787,67997.83748635459
Ammonia exchange,,0.0,0.0,0.0,0.0
Acetaldehyde reversible transport,,0.0,0.0,0.0,0.0
"Aconitase (half-reaction A, Citrate hydro-lyase)",,4.195,4.195,4.195,4.195
"Aconitase (half-reaction B, Isocitrate hydro-lyase)",,4.195,4.195,4.195,4.195
D-lactate dehydrogenase,,0.0,0.0,0.0,0.0
Formate exchange,,-0.0,-0.0,-0.0,-0.0
O2 transport  diffusion ,,12.585,12.585,12.585,12.585
D-lactate exchange,,0.0,0.0,0.0,0.0
Fumarate transport via proton symport (2 H),,0.0,0.0,0.0,0.0
Phosphoenolpyruvate carboxylase,,0.0,0.0,0.0,0.0
Succinyl-CoA synthetase (ADP-forming),,-4.195,-4.195,-4.195,-4.195
Glutaminase,,0.0,0.0,0.0,0.0
L-Glutamate exchange,,0.0,0.0,0.0,0.0
Fumarase,,4.195,4.195,4.195,4.195
Glutamate synthase (NADPH),,0.0,0.0,0.0,0.0
L-Malate exchange,,0.0,0.0,0.0,0.0
Phosphotransacetylase,,0.0,0.0,0.0,0.0
D-Glucose exchange,,-2.0975,-2.0975,-2.0975,-2.0975
Formate transport in via proton symport,,0.0,0.0,0.0,0.0
L glutamate transport via proton symport  reversible,,0.0,0.0,0.0,0.0
2 oxoglutarate reversible transport via symport,,0.0,0.0,0.0,0.0
Ethanol reversible transport via proton symport,,0.0,0.0,0.0,0.0
D-glucose transport via PEP:Pyr PTS,,2.0975,2.0975,2.0975,2.0975
D-Fructose exchange,,0.0,0.0,0.0,0.0
Acetaldehyde exchange,,0.0,0.0,0.0,0.0
Malate dehydrogenase,,4.195,4.195,4.195,4.195
O2 exchange,,-12.585,-12.585,-12.585,-12.585
H2O exchange,,12.585,12.585,12.585,12.585
